name,strength,form,route,generic,type,rxcui,schedule
Taltz,80 mg/ml,Prefilled Syringe,Injectable,taltz 20 MG in 0.25 ML Prefilled Syringe,prescription,2674932,0
Eligard,30 mg/ml,Prefilled Syringe,Injectable,Eligard 7.5 MG in 0.25 ML (1 month) Prefilled Syringe,prescription,825334,0
Rasuvo,50 mg/ml,Auto-Injector,Injectable,Rasuvo 12.5 MG in 0.25 ML Auto-Injector,prescription,1544386,0
Erzofri,156 mg/ml,Prefilled Syringe,Injectable,Erzofri 39 MG in 0.25 ML Prefilled Syringe,prescription,2699353,0
Invega,156 mg/ml,Prefilled Syringe,Injectable,Invega Sustenna 39 MG in 0.25 mL Prefilled Syringe,prescription,858074,0
Genotropin,0.8 mg/ml,Prefilled Syringe,Injectable,Genotropin 0.2 MG in 0.25 ML Prefilled Syringe,prescription,762833,0
Genotropin,1.6 mg/ml,Prefilled Syringe,Injectable,Genotropin 0.4 MG in 0.25 ML Prefilled Syringe,prescription,762836,0
Genotropin,2.4 mg/ml,Prefilled Syringe,Injectable,Genotropin 0.6 MG in 0.25 ML Prefilled Syringe,prescription,762839,0
Genotropin,3.2 mg/ml,Prefilled Syringe,Injectable,Genotropin 0.8 MG in 0.25 ML Prefilled Syringe,prescription,762843,0
Genotropin,4 mg/ml,Prefilled Syringe,Injectable,Genotropin 1 MG in 0.25 ML Prefilled Syringe,prescription,762875,0
Genotropin,4.8 mg/ml,Prefilled Syringe,Injectable,Genotropin 1.2 MG in 0.25 ML Prefilled Syringe,prescription,762849,0
Genotropin,5.6 mg/ml,Prefilled Syringe,Injectable,Genotropin 1.4 MG in 0.25 ML Prefilled Syringe,prescription,762852,0
Genotropin,6.4 mg/ml,Prefilled Syringe,Injectable,Genotropin 1.6 MG in 0.25 ML Prefilled Syringe,prescription,762859,0
Genotropin,7.2 mg/ml,Prefilled Syringe,Injectable,Genotropin 1.8 MG in 0.25 ML Prefilled Syringe,prescription,762868,0
Genotropin,8 mg/ml,Prefilled Syringe,Injectable,Genotropin 2 MG in 0.25 ML Prefilled Syringe,prescription,762897,0
Ticovac,4.8 mcg/ml,Prefilled Syringe,Injectable,TICOVAC 1.2 MCG in 0.25 ML Prefilled Syringe,prescription,2583647,0
Brixadi,356 mg/ml,Prefilled Syringe,Injectable,Brixadi 96 MG in 0.27 ML Monthly Extended Release Prefilled Syringe,prescription,2639042,3
Uzedy,357 mg/ml,Prefilled Syringe,Injectable,UZEDY 100 MG in 0.28 ML Prefilled Syringe,prescription,2636039,0
Vyleesi,5.83 mg/ml,Auto-Injector,Injectable,vyleesi 1.75 MG in 0.3 mL Auto-Injector,prescription,2176321,0
Fragmin,"25,000 unt/ml",Prefilled Syringe,Injectable,Fragmin 7500 UNT in 0.3 ML Prefilled Syringe,prescription,978737,0
Aranesp,0.2 mg/ml,Prefilled Syringe,Injectable,Aranesp 60 MCG in 0.3 ML Prefilled Syringe,prescription,731250,0
Aranesp,0.5 mg/ml,Prefilled Syringe,Injectable,Aranesp 150 MCG in 0.3 ML Prefilled Syringe,prescription,731231,0
Lovenox,30 mg/0.3 ml,Prefilled Syringe,Injectable,Lovenox 30 MG in 0.3 mL Prefilled Syringe,prescription,854232,0
Symjepi,0.5 mg/ml,Prefilled Syringe,Injectable,SYMJEPI 0.15 MG in 0.3 ML Prefilled Syringe,prescription,2178792,0
Symjepi,1 mg/ml,Prefilled Syringe,Injectable,SYMJEPI 0.3 MG in 0.3 mL Prefilled Syringe,prescription,1989117,0
Somatuline,300 mg/ml,Prefilled Syringe,Injectable,Somatuline Depot 90 MG in 0.3 ML Prefilled Syringe,prescription,749818,0
Reditrex,25 mg/ml,Prefilled Syringe,Injectable,RediTrex 7.5 MG in 0.3 ML Prefilled Syringe,prescription,2377354,0
Rasuvo,50 mg/ml,Auto-Injector,Injectable,Rasuvo 15 MG in 0.3 ML Auto-Injector,prescription,1544388,0
Mircera,0.1 mg/ml,Prefilled Syringe,Injectable,MIRCERA 30 MCG in 0.3 ML Prefilled Syringe,prescription,1792485,0
Mircera,0.167 mg/ml,Prefilled Syringe,Injectable,MIRCERA 50 MCG in 0.3 ML Prefilled Syringe,prescription,1591961,0
Mircera,0.25 mg/ml,Prefilled Syringe,Injectable,MIRCERA 75 MCG in 0.3 ML Prefilled Syringe,prescription,1591964,0
Mircera,0.333 mg/ml,Prefilled Syringe,Injectable,MIRCERA 100 MCG in 0.3 ML Prefilled Syringe,prescription,1591967,0
Mircera,0.4 mg/ml,Prefilled Syringe,Injectable,MIRCERA 120 MCG in 0.3 ML Prefilled Syringe,prescription,1792490,
Mircera,0.5 mg/ml,Prefilled Syringe,Injectable,MIRCERA 150 MCG in 0.3 ML Prefilled Syringe,prescription,1591970,0
Mircera,0.667 mg/ml,Prefilled Syringe,Injectable,MIRCERA 200 MCG in 0.3 ML Prefilled Syringe,prescription,1591973,0
Mircera,0.833 mg/ml,Prefilled Syringe,Injectable,MIRCERA 250 MCG in 0.3 ML Prefilled Syringe,prescription,1591976,
Comirnaty 2024-2025,0.1 mg/ml,Injection,Injectable,"COMIRNATY 2024-2025 vaccine, 0.3 ML Injection, 12y+",prescription,2691219,
Comirnaty 2024-2025,0.1 mg/ml,Prefilled Syringe,Injectable,"COMIRNATY 2024-2025 vaccine, 0.3 ML Prefilled Syringe, 12y+",prescription,2691212,0
Brixadi,50 mg/ml,Prefilled Syringe,Injectable,Brixadi 16 MG in 0.32 ML Weekly Extended Release Prefilled Syringe,prescription,2639030,3
Viscoat,40-30 mg/ml,Prefilled Syringe,Injectable,Viscoat 4 % / 3 % in 0.35 ML Prefilled Syringe,prescription,1098124,
Rasuvo,50 mg/ml,Auto-Injector,Injectable,Rasuvo 17.5 MG in 0.35 ML Auto-Injector,prescription,1544390,0
Uzedy,357 mg/ml,Prefilled Syringe,Injectable,UZEDY 125 MG in 0.35 ML Prefilled Syringe,prescription,2636042,0
Brixadi,356 mg/ml,Prefilled Syringe,Injectable,Brixadi 128 MG in 0.36 ML Monthly Extended Release Prefilled Syringe,prescription,2639044,3
Follistim,833 unt/ml,Cartridge,Injectable,Follistim AQ 300 UNT in 0.36 ML Cartridge,prescription,1361563,0
Eligard,120 mg/ml,Prefilled Syringe,Injectable,Eligard 45 MG in 0.375 ML (6 month) Prefilled Syringe,prescription,825325,0
Fensolvi,120 mg/ml,Prefilled Syringe,Injectable,Fensolvi 45 MG in 0.375 ML (6 month) Prefilled Syringe,prescription,2371773,0
Eligard,60 mg/ml,Prefilled Syringe,Injectable,Eligard 22.5 MG in 0.375 ML (3 month) Prefilled Syringe,prescription,825335,0
Orencia,125 mg/ml,Prefilled Syringe,Injectable,Orencia 50 MG in 0.4 ML Prefilled Syringe,prescription,1925255,0
Humira,100 mg/ml,Auto-Injector,Injectable,Humira 40 MG in 0.4 ML Auto-Injector,prescription,1872980,0
Humira,100 mg/ml,Prefilled Syringe,Injectable,Humira 40 MG in 0.4 ML Prefilled Syringe,prescription,1726846,0
Yuflyma,100 mg/ml,Auto-Injector,Injectable,Yuflyma 40 MG in 0.4 ML Auto-Injector,prescription,2639657,0
Yuflyma,100 mg/ml,Prefilled Syringe,Injectable,Yuflyma 40 MG in 0.4 ML Prefilled Syringe,prescription,2639662,0
Hyrimoz,100 mg/ml,Auto-Injector,Injectable,Hyrimoz 40 MG in 0.4 ML Auto-Injector,prescription,2641658,0
Hyrimoz,100 mg/ml,Prefilled Syringe,Injectable,Hyrimoz 40 MG in 0.4 ML Prefilled Syringe,prescription,2641661,0
Cyltezo,100 mg/ml,Auto-Injector,Injectable,CYLTEZO 40 MG in 0.4 ML Auto-Injector,prescription,2680750,0
Cyltezo,100 mg/ml,Prefilled Syringe,Injectable,CYLTEZO 40 MG in 0.4 ML Prefilled Syringe,prescription,2680746,0
Cyltezo,50 mg/ml,Prefilled Syringe,Injectable,CYLTEZO 20 MG in 0.4 ML Prefilled Syringe,prescription,2640894,0
Abrilada,50 mg/ml,Prefilled Syringe,Injectable,Abrilada 20 MG in 0.4 ML Prefilled Syringe,prescription,2668096,0
Amjevita,100 mg/ml,Auto-Injector,Injectable,AMJEVITA 40 MG in 0.4 ML Auto-Injector,prescription,2663910,0
Amjevita,100 mg/ml,Prefilled Syringe,Injectable,AMJEVITA 40 MG in 0.4 ML Prefilled Syringe,prescription,2663907,0
Amjevita,50 mg/ml,Prefilled Syringe,Injectable,AMJEVITA 20 MG in 0.4 ML Prefilled Syringe,prescription,2627717,0
Hadlima,100 mg/ml,Auto-Injector,Injectable,HADLIMA 40 MG in 0.4 ML Auto-Injector,prescription,2640432,0
Hadlima,100 mg/ml,Prefilled Syringe,Injectable,HADLIMA 40 MG in 0.4 ML Prefilled Syringe,prescription,2640428,0
Hulio,50 mg/ml,Prefilled Syringe,Injectable,Hulio 20 MG in 0.4 ML Prefilled Syringe,prescription,2640415,0
Simlandi,100 mg/ml,Auto-Injector,Injectable,Simlandi 40 MG in 0.4 ML Auto-Injector,prescription,2677787,0
Simlandi,100 mg/ml,Prefilled Syringe,Injectable,Simlandi 40 MG in 0.4 ML Prefilled Syringe,prescription,2688827,0
Restasis,0.05%,Ophthalmic Suspension,Ophthalmic,Restasis 0.05 % in 0.4 ML Ophthalmic Emulsion,prescription,2572293,0
Aranesp,0.025 mg/ml,Prefilled Syringe,Injectable,Aranesp 10 MCG in 0.4 ML Prefilled Syringe,prescription,1605172,0
Aranesp,0.1 mg/ml,Prefilled Syringe,Injectable,Aranesp 40 MCG in 0.4 ML Prefilled Syringe,prescription,731227,0
Aranesp,0.5 mg/ml,Prefilled Syringe,Injectable,Aranesp 200 MCG in 0.4 ML Prefilled Syringe,prescription,731235,0
Hemlibra,150 mg/ml,Injection,Injectable,Hemlibra 60 MG in 0.4 ML Injection,prescription,1989815,0
Hemlibra,30 mg/ml,Injection,Injectable,Hemlibra 12 MG in 0.4 ML Injection,prescription,2675568,0
Lovenox,40 mg/0.4 ml,Prefilled Syringe,Injectable,Lovenox 40 MG in 0.4 mL Prefilled Syringe,prescription,854236,0
Arixtra,12.5 mg/ml,Prefilled Syringe,Injectable,Atrixtra 5 MG in 0.4 ML Prefilled Syringe,prescription,861364,0
Sustol,25 mg/ml,Prefilled Syringe,Injectable,sustol 10 MG in 0.4 ML Prefilled Syringe,prescription,1810489,0
Nucala,100 mg/ml,Prefilled Syringe,Injectable,Nucala 40 MG in 0.4 ML Prefilled Syringe,prescription,2596445,0
Otrexup,25 mg/ml,Auto-Injector,Injectable,Otrexup 10 MG in 0.4 ML Auto-Injector,prescription,1441407,0
Reditrex,25 mg/ml,Prefilled Syringe,Injectable,RediTrex 10 MG in 0.4 ML Prefilled Syringe,prescription,2377338,0
Otrexup,31.3 mg/ml,Auto-Injector,Injectable,Otrexup 12.5 MG in 0.4 ML Auto-Injector,prescription,1747181,0
Otrexup,37.5 mg/ml,Auto-Injector,Injectable,Otrexup 15 MG in 0.4 ML Auto-Injector,prescription,1441413,0
Otrexup,43.8 mg/ml,Auto-Injector,Injectable,Otrexup 17.5 MG in 0.4 ML Auto-Injector,prescription,1747187,0
Otrexup,50 mg/ml,Auto-Injector,Injectable,Otrexup 20 MG in 0.4 ML Auto-Injector,prescription,1441418,0
Rasuvo,50 mg/ml,Auto-Injector,Injectable,Rasuvo 20 MG in 0.4 ML Auto-Injector,prescription,1544394,0
Otrexup,56.3 mg/ml,Auto-Injector,Injectable,Otrexup 22.5 MG in 0.4 ML Auto-Injector,prescription,1747194,0
Otrexup,62.5 mg/ml,Auto-Injector,Injectable,Otrexup 25 MG in 0.4 ML Auto-Injector,prescription,1441424,0
Relistor,20 mg/ml,Prefilled Syringe,Injectable,RELISTOR 8 MG in 0.4 ML Prefilled Syringe,prescription,1244064,0
Anktiva,1 mg/ml,Injection,Injectable,Anktiva 400 MCG in 0.4 ML Injection,prescription,2682691,0
Kesimpta,50 mg/ml,Pen Injector,Injectable,KESIMPTA 20 MG in 0.4 ML Pen Injector,prescription,2390954,0
Provisc,10 mg/ml,Prefilled Syringe,Injectable,ProVisc 10 MG/ML in 0.4 ML Prefilled Syringe,prescription,1091725,0
Zilbrysq,40 mg/ml,Prefilled Syringe,Injectable,ZILBRYSQ 16.6 MG in 0.416 ML Prefilled Syringe,prescription,2672502,0
Aranesp,0.06 mg/ml,Prefilled Syringe,Injectable,Aranesp 25 MCG in 0.42 ML Prefilled Syringe,prescription,731245,0
Uzedy,357 mg/ml,Prefilled Syringe,Injectable,UZEDY 150 MG in 0.42 ML Prefilled Syringe,prescription,2636044,0
Strensiq,40 mg/ml,Injection,Injectable,Strensiq 18 MG in 0.45 ML Injection,prescription,1720268,0
Rasuvo,50 mg/ml,Auto-Injector,Injectable,Rasuvo 22.5 MG in 0.45 ML Auto-Injector,prescription,1544396,0
Brixadi,50 mg/ml,Prefilled Syringe,Injectable,Brixadi 24 MG in 0.48 ML Weekly Extended Release Prefilled Syringe,prescription,2639032,3
Pediarix,0.116-50-0.02-1-80-2-16-3-64-20 var units,Prefilled Syringe,Injectable,PEDIARIX vaccine 0.5 ML Prefilled Syringe,prescription,829989,0
Kinrix,0.116-50-1-80-2-16-3-64-20 var units,Prefilled Syringe,Injectable,KINRIX vaccine 0.5 ML Prefilled Syringe,prescription,830557,0
Pentacel,96-30-68-1-58-2-14-3-52-20 var units,Injection,Injectable,Pentacel (with vIPV) vaccine 0.5 ML Injection,prescription,2585717,0
Pentacel,96-30-68-1-80-2-16-3-64-20 var units,Injection,Injectable,Pentacel (with mIPV) vaccine 0.5 ML Injection,prescription,805378,
Tanzeum,60 mg/ml,Pen Injector,Injectable,Tanzeum 30 MG in 0.5 ML Pen Injector,prescription,1534805,0
Caverject,20 mcg/ml,Prefilled Syringe,Injectable,Caverject Impulse 10 MCG in 0.5 ML Prefilled Syringe,prescription,763472,0
Caverject,40 mcg/ml,Prefilled Syringe,Injectable,Caverject Impulse 20 MCG in 0.5 ML Prefilled Syringe,prescription,763474,0
Rylaze,20 mg/ml,Injection,Injectable,RYLAZE 10 MG in 0.5 ML Injection,prescription,2561256,0
Fasenra,20 mg/ml,Prefilled Syringe,Injectable,Fasenra 10 MG in 0.5 ML Prefilled Syringe,prescription,2679502,0
Adacel,0.01-0.01-0.006-0.005-4-10 var units,Injection,Injectable,Adacel 0.5 ML Injection,prescription,1300206,0
Adacel,0.01-0.01-0.006-0.005-4-10 var units,Prefilled Syringe,Injectable,Adacel 0.5 ML Prefilled Syringe,prescription,1300191,0
Daptacel,0.01-0.01-0.006-0.02-30-10 var units,Injection,Injectable,DAPTACEL vaccine 0.5 ML Injection,prescription,1300310,0
Boostrix,0.016-0.005-0.016-5-10 var units,Prefilled Syringe,Injectable,BOOSTRIX vaccine 0.5 ML Prefilled Syringe,prescription,1300370,0
Boostrix,0.016-0.005-0.016-5-10 var units,Injection,Injectable,BOOSTRIX vaccine 0.5 ML Injection,prescription,1300378,0
Vaxelis,0.04-0.01-0.006-0.04-30-0.006-0.02-1-58-2-14-3-52-10 var units,Prefilled Syringe,Injectable,Vaxelis 0.5 ML Prefilled Syringe,prescription,2468239,0
Vaxelis,0.04-0.01-0.006-0.04-30-0.006-0.02-1-58-2-14-3-52-10 var units,Injection,Injectable,Vaxelis 0.5 ML Injection,prescription,2109620,0
Quadracel,0.04-0.01-0.006-0.04-30-1-58-2-14-3-52-10 var units,Injection,Injectable,Quadracel (with vIPV) vaccine 0.5 ML Injection,prescription,2587057,0
Quadracel,0.04-0.01-0.006-0.04-30-1-58-2-14-3-52-10 var units,Prefilled Syringe,Injectable,Quadracel (with vIPV) vaccine 0.5 ML Prefilled Syringe,prescription,2593121,0
Quadracel,0.04-0.01-0.006-0.04-30-1-80-2-16-3-64-10 var units,Injection,Injectable,Quadracel (with mIPV) vaccine 0.5 ML Injection,prescription,1607808,0
Infanrix,0.05-0.016-0.05-50-20 var units,Injection,Injectable,INFANRIX vaccine 0.5 ML Injection,prescription,1300386,0
Infanrix,0.05-0.016-0.05-50-20 var units,Prefilled Syringe,Injectable,INFANRIX vaccine 0.5 ML Prefilled Syringe,prescription,1300384,0
Sublocade,200 mg/ml,Prefilled Syringe,Injectable,SUBLOCADE 100 MG in 0.5 mL Prefilled Syringe,prescription,1996189,3
Viscoat,40-30 mg/ml,Prefilled Syringe,Injectable,Viscoat 4 % / 3 % in 0.5 ML Prefilled Syringe,prescription,1098139,0
Ovidrel,0.5 mg/ml,Prefilled Syringe,Injectable,Ovidrel 250 MCG in 0.5 mL Prefilled Syringe,prescription,727507,0
Acthar,80 unt/ml,Prefilled Syringe,Injectable,Acthar Gel 40 UNT in 0.5 ML Prefilled SelfJect Injector,prescription,2685299,0
Fragmin,"25,000 unt/ml",Prefilled Syringe,Injectable,"Fragmin 12,500 UNT in 0.5 ML Prefilled Syringe",prescription,978741,0
Aranesp,0.2 mg/ml,Prefilled Syringe,Injectable,Aranesp 100 MCG in 0.5 ML Prefilled Syringe,prescription,730046,0
Diastat,0.5%,Rectal Gel,Rectal,Diastat 2.5 MG in 0.5 ML Rectal Gel,prescription,801958,4
Tenivac,4-10 unt/ml,Injection,Injectable,TENIVAC vaccine 0.5 ML Injection,prescription,1190916,0
Tenivac,4-10 unt/ml,Prefilled Syringe,Injectable,TENIVAC vaccine 0.5 ML Prefilled Syringe,prescription,1190919,0
Tdvax,4-4 unt/ml,Injection,Injectable,TDVAX vaccine 0.5 mL Injection,prescription,2106334,0
Trulicity,1.5 mg/ml,Auto-Injector,Injectable,Trulicity 0.75 MG in 0.5 ML Auto-Injector,prescription,1551300,0
Trulicity,3 mg/ml,Auto-Injector,Injectable,Trulicity 1.5 MG in 0.5 ML Auto-Injector,prescription,1551306,0
Trulicity,6 mg/ml,Auto-Injector,Injectable,Trulicity 3 MG in 0.5 ML Auto-Injector,prescription,2395779,0
Trulicity,9 mg/ml,Auto-Injector,Injectable,Trulicity 4.5 MG in 0.5 ML Auto-Injector,prescription,2395785,0
Kebilidi,"560,000,000,000 vector-genomes/ml",Injection,Injectable,"Kebilidi 560,000,000,000 VECTOR-GENOMES in 0.5 ML Injection",prescription,2698778,
Enbrel,50 mg/ml,Injection,Injectable,Enbrel 25 MG in 0.5 mL Injection,prescription,2392142,0
Enbrel,50 mg/ml,Prefilled Syringe,Injectable,Enbrel 25 MG in 0.5 mL Prefilled Syringe,prescription,809159,0
Eticovo,50 mg/ml,Prefilled Syringe,Injectable,Eticovo 25 MG in 0.5 mL Prefilled Syringe,prescription,2462522,
Parsabiv,5 mg/ml,Injection,Injectable,Parsabiv 2.5 MG in 0.5 ML Injection,prescription,1876138,0
Neupogen,0.6 mg/ml,Prefilled Syringe,Injectable,Neupogen 300 MCG in 0.5 ML Prefilled Syringe,prescription,727537,0
Nivestym,0.6 mg/ml,Prefilled Syringe,Injectable,Nivestym 300 MCG in 0.5 ML Prefilled Syringe,prescription,2057205,0
Releuko,0.6 mg/ml,Prefilled Syringe,Injectable,Releuko 300 MCG in 0.5 ML Prefilled Syringe,prescription,2595950,0
Zarxio,0.6 mg/ml,Prefilled Syringe,Injectable,Zarxio 300 MCG in 0.5 ML Prefilled Syringe,prescription,1605071,0
Nypozi,0.6 mg/ml,Prefilled Syringe,Injectable,NYPOZI 300 MCG in 0.5 ML Prefilled Syringe,prescription,2700376,
Gonal f,600 unt/ml,Pen Injector,Injectable,GONAL-f RFF Pen 300 UNT in 0.5 ML Pen Injector,prescription,1594432,0
Arixtra,5 mg/ml,Prefilled Syringe,Injectable,Atrixtra 2.5 MG in 0.5 ML Prefilled Syringe,prescription,861362,0
Fyremadel,0.5 mg/ml,Prefilled Syringe,Injectable,Fyremadel 250 MCG in 0.5 ML Prefilled Syringe,prescription,2587594,0
Simponi,100 mg/ml,Auto-Injector,Injectable,Simponi 50 MG in 0.5 ML Auto-Injector,prescription,1653144,0
Simponi,100 mg/ml,Prefilled Syringe,Injectable,Simponi 50 MG in 0.5 mL Prefilled Syringe,prescription,848164,0
Pedvaxhib,0.265 mg/ml,Injection,Injectable,PedvaxHIB vaccine 0.5 ML Injection,prescription,798451,0
Acthib,68 mcg/ml,Injection,Injectable,ActHIB vaccine 0.5 ML Injection,prescription,1300468,0
Hiberix,70 mcg/ml,Injection,Injectable,HIBERIX vaccine 0.5 ML Injection,prescription,1300810,0
Havrix,"1,440 unt/ml",Prefilled Syringe,Injectable,HAVRIX pediatric/adolescent vaccine 720 UNT in 0.5 ML Prefilled Syringe,prescription,798482,0
Vaqta,50 unt/ml,Injection,Injectable,VAQTA pediatric/adolescent vaccine 0.5 ML Injection,prescription,1658106,0
Vaqta,50 unt/ml,Prefilled Syringe,Injectable,VAQTA vaccine pediatric/adolescent 0.5 ML Prefilled Syringe,prescription,836636,0
Hyperhep b,220 unt/ml,Prefilled Syringe,Injectable,HyperHEP B S/D >220 UNT/ML in 0.5 ML Prefilled Syringe,prescription,825159,0
Recombivax,10 mcg/ml,Injection,Injectable,RECOMBIVAX HB pediatric/adolescent vaccine 0.5 ML Injection,prescription,1658155,0
Recombivax,10 mcg/ml,Prefilled Syringe,Injectable,RECOMBIVAX HB pediatric/adolescent vaccine 0.5 ML Prefilled Syringe,prescription,830253,0
Engerix-b,20 mcg/ml,Prefilled Syringe,Injectable,ENGERIX-B pediatric/adolescent 10 MCG in 0.5 ML Prefilled Syringe,prescription,798430,0
Heplisav-b,40 mcg/ml,Injection,Injectable,HEPLISAV-B 20 MCG in 0.5 ML Injection,prescription,1994352,
Heplisav-b,40 mcg/ml,Prefilled Syringe,Injectable,HEPLISAV-B 20 MCG in 0.5 ML Prefilled Syringe,prescription,2050059,0
